[2023-05-31 01:12:30,814][core][INFO] - Step: 200, Upper Loss: 0.0034123030491173267, Lower Loss: 0.0006296642823144794, Upper Q: 0.5804504156112671, Lower Q: 0.11970490962266922
[2023-05-31 01:12:31,837][core][INFO] - Step: 300, Upper Loss: 0.00958183966577053, Lower Loss: 0.0058484673500061035, Upper Q: 0.6232308149337769, Lower Q: 0.2732664942741394
[2023-05-31 01:12:32,612][core][INFO] - Step: 400, Upper Loss: 0.007533467374742031, Lower Loss: 0.006426303181797266, Upper Q: 0.5865178108215332, Lower Q: 0.44663679599761963
[2023-05-31 01:12:33,434][core][INFO] - Step: 500, Upper Loss: 0.006596411112695932, Lower Loss: 0.006538826040923595, Upper Q: 0.5601283311843872, Lower Q: 0.6121705770492554
[2023-05-31 01:12:34,498][core][INFO] - Step: 600, Upper Loss: 0.004357838071882725, Lower Loss: 0.003697160864248872, Upper Q: 0.535209059715271, Lower Q: 0.7889634370803833
[2023-05-31 01:12:35,453][core][INFO] - Step: 700, Upper Loss: 0.007807251065969467, Lower Loss: 0.0036523817107081413, Upper Q: 0.47084230184555054, Lower Q: 0.9316108226776123
[2023-05-31 01:12:36,431][core][INFO] - Step: 800, Upper Loss: 0.005740693770349026, Lower Loss: 0.005163491237908602, Upper Q: 0.429953008890152, Lower Q: 1.1168155670166016
[2023-05-31 01:12:37,326][core][INFO] - Step: 900, Upper Loss: 0.005012362729758024, Lower Loss: 0.003661259077489376, Upper Q: 0.3731966018676758, Lower Q: 1.2553198337554932
[2023-05-31 01:12:38,357][core][INFO] - Step: 1000, Upper Loss: 0.004705603234469891, Lower Loss: 0.0057052187621593475, Upper Q: 0.3583294153213501, Lower Q: 1.4513782262802124
[2023-05-31 01:12:39,322][core][INFO] - Step: 1100, Upper Loss: 0.002872843760997057, Lower Loss: 0.004379415884613991, Upper Q: 0.3028288781642914, Lower Q: 1.5211583375930786
[2023-05-31 01:12:40,337][core][INFO] - Step: 1200, Upper Loss: 0.003643317613750696, Lower Loss: 0.004850504454225302, Upper Q: 0.30988290905952454, Lower Q: 1.6557062864303589
[2023-05-31 01:12:41,227][core][INFO] - Step: 1300, Upper Loss: 0.003701920621097088, Lower Loss: 0.0053335693664848804, Upper Q: 0.2664136290550232, Lower Q: 1.787809133529663
[2023-05-31 01:12:42,412][core][INFO] - Step: 1400, Upper Loss: 0.0031261700205504894, Lower Loss: 0.012414835393428802, Upper Q: 0.265311062335968, Lower Q: 2.013035774230957
[2023-05-31 01:12:43,405][core][INFO] - Step: 1500, Upper Loss: 0.003972645848989487, Lower Loss: 0.005383823998272419, Upper Q: 0.24278472363948822, Lower Q: 2.299659013748169
[2023-05-31 01:12:44,779][core][INFO] - Step: 1600, Upper Loss: 0.0027026524767279625, Lower Loss: 0.005619988311082125, Upper Q: 0.22725583612918854, Lower Q: 2.4907426834106445
[2023-05-31 01:12:45,790][core][INFO] - Step: 1700, Upper Loss: 0.003621333045884967, Lower Loss: 0.004240533336997032, Upper Q: 0.24127358198165894, Lower Q: 2.879490375518799
[2023-05-31 01:12:47,018][core][INFO] - Step: 1800, Upper Loss: 0.002848381642252207, Lower Loss: 0.006063616834580898, Upper Q: 0.21873097121715546, Lower Q: 3.113208532333374
[2023-05-31 01:12:47,994][core][INFO] - Step: 1900, Upper Loss: 0.003679430577903986, Lower Loss: 0.010465181432664394, Upper Q: 0.19322538375854492, Lower Q: 3.3904812335968018
[2023-05-31 01:12:49,133][core][INFO] - Step: 2000, Upper Loss: 0.0018255393952131271, Lower Loss: 0.0028445320203900337, Upper Q: 0.20501741766929626, Lower Q: 3.5508265495300293
[2023-05-31 01:12:50,179][core][INFO] - Step: 2100, Upper Loss: 0.0030659257899969816, Lower Loss: 0.004683321341872215, Upper Q: 0.19731101393699646, Lower Q: 3.782064914703369
[2023-05-31 01:12:51,206][core][INFO] - Step: 2200, Upper Loss: 0.00220732600428164, Lower Loss: 0.004315985832363367, Upper Q: 0.1712920069694519, Lower Q: 3.886652946472168
[2023-05-31 01:12:52,111][core][INFO] - Step: 2300, Upper Loss: 0.002553651574999094, Lower Loss: 0.004600909072905779, Upper Q: 0.18654800951480865, Lower Q: 3.9547972679138184
[2023-05-31 01:12:53,269][core][INFO] - Step: 2400, Upper Loss: 0.0034714299254119396, Lower Loss: 0.002418244257569313, Upper Q: 0.16979444026947021, Lower Q: 4.175538063049316
[2023-05-31 01:12:54,243][core][INFO] - Step: 2500, Upper Loss: 0.0016617965884506702, Lower Loss: 0.0013703643344342709, Upper Q: 0.1535140872001648, Lower Q: 4.3188018798828125
[2023-05-31 01:12:55,370][core][INFO] - Step: 2600, Upper Loss: 0.001164906658232212, Lower Loss: 0.0036157481372356415, Upper Q: 0.1609148383140564, Lower Q: 4.275331020355225
[2023-05-31 01:12:56,431][core][INFO] - Step: 2700, Upper Loss: 0.0016677526291459799, Lower Loss: 0.004321372602134943, Upper Q: 0.15328845381736755, Lower Q: 4.35749626159668
[2023-05-31 01:12:57,777][core][INFO] - Step: 2800, Upper Loss: 0.0018741365056484938, Lower Loss: 0.013057787902653217, Upper Q: 0.15952152013778687, Lower Q: 4.493434429168701
