[2023-05-31 01:26:21,103][core][INFO] - Step: 200, Upper Loss: 0.003159171901643276, Lower Loss: 0.0005892107728868723, Upper Q: 0.5656681656837463, Lower Q: 0.11867498606443405
[2023-05-31 01:26:22,247][core][INFO] - Step: 300, Upper Loss: 0.00864754244685173, Lower Loss: 0.005825169384479523, Upper Q: 0.5913825631141663, Lower Q: 0.27389025688171387
[2023-05-31 01:26:23,346][core][INFO] - Step: 400, Upper Loss: 0.006700842175632715, Lower Loss: 0.005736569873988628, Upper Q: 0.5476069450378418, Lower Q: 0.44041672348976135
[2023-05-31 01:26:24,610][core][INFO] - Step: 500, Upper Loss: 0.005785624496638775, Lower Loss: 0.004407680127769709, Upper Q: 0.5063491463661194, Lower Q: 0.6071382761001587
[2023-05-31 01:26:25,832][core][INFO] - Step: 600, Upper Loss: 0.003343774937093258, Lower Loss: 0.008693565614521503, Upper Q: 0.46395307779312134, Lower Q: 0.7775471210479736
[2023-05-31 01:26:26,905][core][INFO] - Step: 700, Upper Loss: 0.006353259086608887, Lower Loss: 0.004932825453579426, Upper Q: 0.4071042537689209, Lower Q: 0.900124728679657
[2023-05-31 01:26:28,055][core][INFO] - Step: 800, Upper Loss: 0.0034442911855876446, Lower Loss: 0.006894170306622982, Upper Q: 0.3544255197048187, Lower Q: 1.0654106140136719
[2023-05-31 01:26:29,241][core][INFO] - Step: 900, Upper Loss: 0.0025575892068445683, Lower Loss: 0.005082947202026844, Upper Q: 0.30748966336250305, Lower Q: 1.211705207824707
[2023-05-31 01:26:30,412][core][INFO] - Step: 1000, Upper Loss: 0.0030363863334059715, Lower Loss: 0.008091021329164505, Upper Q: 0.3191767930984497, Lower Q: 1.5101486444473267
[2023-05-31 01:26:31,587][core][INFO] - Step: 1100, Upper Loss: 0.0033053422812372446, Lower Loss: 0.014714117161929607, Upper Q: 0.3086850643157959, Lower Q: 1.889583945274353
[2023-05-31 01:26:32,711][core][INFO] - Step: 1200, Upper Loss: 0.0028298785910010338, Lower Loss: 0.023508861660957336, Upper Q: 0.30642175674438477, Lower Q: 2.4173057079315186
[2023-05-31 01:26:33,831][core][INFO] - Step: 1300, Upper Loss: 0.0032512738835066557, Lower Loss: 0.03883283585309982, Upper Q: 0.2696468234062195, Lower Q: 3.038156509399414
[2023-05-31 01:26:35,102][core][INFO] - Step: 1400, Upper Loss: 0.002043370623141527, Lower Loss: 0.04156709834933281, Upper Q: 0.2813003659248352, Lower Q: 3.7757279872894287
[2023-05-31 01:26:36,233][core][INFO] - Step: 1500, Upper Loss: 0.0030887150205671787, Lower Loss: 0.020776618272066116, Upper Q: 0.24300076067447662, Lower Q: 4.846534729003906
[2023-05-31 01:26:37,353][core][INFO] - Step: 1600, Upper Loss: 0.0021022495348006487, Lower Loss: 0.029214585199952126, Upper Q: 0.22831487655639648, Lower Q: 5.582151412963867
[2023-05-31 01:26:38,533][core][INFO] - Step: 1700, Upper Loss: 0.0018217834876850247, Lower Loss: 0.015564271248877048, Upper Q: 0.19945625960826874, Lower Q: 6.2632060050964355
[2023-05-31 01:26:39,675][core][INFO] - Step: 1800, Upper Loss: 0.0015990864485502243, Lower Loss: 0.03241428732872009, Upper Q: 0.19050690531730652, Lower Q: 6.6418962478637695
[2023-05-31 01:26:40,945][core][INFO] - Step: 1900, Upper Loss: 0.0019561992958188057, Lower Loss: 0.019074220210313797, Upper Q: 0.15825459361076355, Lower Q: 7.1419572830200195
[2023-05-31 01:26:42,035][core][INFO] - Step: 2000, Upper Loss: 0.0009680150542408228, Lower Loss: 0.019542602822184563, Upper Q: 0.16342061758041382, Lower Q: 7.731194496154785
[2023-05-31 01:26:43,125][core][INFO] - Step: 2100, Upper Loss: 0.001720901345834136, Lower Loss: 0.03933755308389664, Upper Q: 0.16106656193733215, Lower Q: 7.727261543273926
[2023-05-31 01:26:44,300][core][INFO] - Step: 2200, Upper Loss: 0.0011560965795069933, Lower Loss: 0.014333173632621765, Upper Q: 0.12296883016824722, Lower Q: 7.9537458419799805
[2023-05-31 01:26:45,460][core][INFO] - Step: 2300, Upper Loss: 0.0012882731389254332, Lower Loss: 0.011749885976314545, Upper Q: 0.12285761535167694, Lower Q: 8.433053970336914
[2023-05-31 01:26:46,645][core][INFO] - Step: 2400, Upper Loss: 0.0007902894867584109, Lower Loss: 0.03231273591518402, Upper Q: 0.12183242291212082, Lower Q: 8.602689743041992
[2023-05-31 01:26:47,752][core][INFO] - Step: 2500, Upper Loss: 0.0008223876357078552, Lower Loss: 0.02459142729640007, Upper Q: 0.1055300235748291, Lower Q: 9.17369270324707
[2023-05-31 01:26:48,861][core][INFO] - Step: 2600, Upper Loss: 0.0009518577717244625, Lower Loss: 0.10968233644962311, Upper Q: 0.11727181077003479, Lower Q: 9.256830215454102
[2023-05-31 01:26:50,077][core][INFO] - Step: 2700, Upper Loss: 0.0012672310695052147, Lower Loss: 0.09819287061691284, Upper Q: 0.11952745169401169, Lower Q: 10.207902908325195
[2023-05-31 01:26:51,211][core][INFO] - Step: 2800, Upper Loss: 0.0016913210274651647, Lower Loss: 0.09707561135292053, Upper Q: 0.0960104763507843, Lower Q: 11.305681228637695
[2023-05-31 01:26:52,324][core][INFO] - Step: 2900, Upper Loss: 0.0005596841801889241, Lower Loss: 0.13603751361370087, Upper Q: 0.09838130325078964, Lower Q: 12.132387161254883
[2023-05-31 01:26:53,576][core][INFO] - Step: 3000, Upper Loss: 0.0009220491629093885, Lower Loss: 0.2074013203382492, Upper Q: 0.10093473643064499, Lower Q: 13.358362197875977
[2023-05-31 01:26:54,764][core][INFO] - Step: 3100, Upper Loss: 0.002034917939454317, Lower Loss: 0.2656826376914978, Upper Q: 0.10943521559238434, Lower Q: 14.709673881530762
[2023-05-31 01:26:56,080][core][INFO] - Step: 3200, Upper Loss: 0.0006218687631189823, Lower Loss: 0.2085098922252655, Upper Q: 0.07281103730201721, Lower Q: 16.46601104736328
[2023-05-31 01:26:57,270][core][INFO] - Step: 3300, Upper Loss: 0.0006653014570474625, Lower Loss: 0.26400837302207947, Upper Q: 0.0692911148071289, Lower Q: 16.981971740722656
[2023-05-31 01:26:58,542][core][INFO] - Step: 3400, Upper Loss: 0.0008625566842965782, Lower Loss: 0.1060803234577179, Upper Q: 0.08691452443599701, Lower Q: 18.662830352783203
[2023-05-31 01:26:59,713][core][INFO] - Step: 3500, Upper Loss: 0.0009022291633300483, Lower Loss: 0.051322005689144135, Upper Q: 0.0719754695892334, Lower Q: 18.99168586730957
[2023-05-31 01:27:00,932][core][INFO] - Step: 3600, Upper Loss: 0.0012218391057103872, Lower Loss: 0.07156261056661606, Upper Q: 0.09078823775053024, Lower Q: 18.05076789855957
[2023-05-31 01:27:02,247][core][INFO] - Step: 3700, Upper Loss: 0.0004995584022253752, Lower Loss: 0.03099261038005352, Upper Q: 0.06621923297643661, Lower Q: 18.474393844604492
[2023-05-31 01:27:03,640][core][INFO] - Step: 3800, Upper Loss: 0.00040819536661729217, Lower Loss: 0.02998858317732811, Upper Q: 0.07513736188411713, Lower Q: 18.189250946044922
[2023-05-31 01:27:04,880][core][INFO] - Step: 3900, Upper Loss: 0.0008318356703966856, Lower Loss: 0.02946358732879162, Upper Q: 0.077179916203022, Lower Q: 18.242473602294922
[2023-05-31 01:27:06,200][core][INFO] - Step: 4000, Upper Loss: 0.0007391612743958831, Lower Loss: 0.0341714583337307, Upper Q: 0.07504913210868835, Lower Q: 17.60928726196289
[2023-05-31 01:27:07,513][core][INFO] - Step: 4100, Upper Loss: 0.0007548065623268485, Lower Loss: 0.13849586248397827, Upper Q: 0.07469526678323746, Lower Q: 17.964374542236328
[2023-05-31 01:27:08,804][core][INFO] - Step: 4200, Upper Loss: 0.0008339186897501349, Lower Loss: 0.024819092825055122, Upper Q: 0.06302022933959961, Lower Q: 18.119247436523438
[2023-05-31 01:27:09,991][core][INFO] - Step: 4300, Upper Loss: 0.0006630400894209743, Lower Loss: 0.012163041159510612, Upper Q: 0.07239788770675659, Lower Q: 17.592864990234375
[2023-05-31 01:27:11,212][core][INFO] - Step: 4400, Upper Loss: 0.00038582703564316034, Lower Loss: 0.01586122065782547, Upper Q: 0.06586765497922897, Lower Q: 17.98882293701172
[2023-05-31 01:27:12,515][core][INFO] - Step: 4500, Upper Loss: 0.0006073141703382134, Lower Loss: 0.009975849650800228, Upper Q: 0.07268164306879044, Lower Q: 17.324417114257812
[2023-05-31 01:27:13,676][core][INFO] - Step: 4600, Upper Loss: 0.0019835783168673515, Lower Loss: 0.008458433672785759, Upper Q: 0.0714794397354126, Lower Q: 17.303638458251953
[2023-05-31 01:27:14,946][core][INFO] - Step: 4700, Upper Loss: 0.0011364090023562312, Lower Loss: 0.0055954596027731895, Upper Q: 0.08370788395404816, Lower Q: 17.18120574951172
[2023-05-31 01:27:16,195][core][INFO] - Step: 4800, Upper Loss: 0.0012749854940921068, Lower Loss: 0.005019203294068575, Upper Q: 0.06101064756512642, Lower Q: 16.610586166381836
[2023-05-31 01:27:17,552][core][INFO] - Step: 4900, Upper Loss: 0.0010596091160550714, Lower Loss: 0.031611159443855286, Upper Q: 0.07739722728729248, Lower Q: 16.623516082763672
[2023-05-31 01:27:18,797][core][INFO] - Step: 5000, Upper Loss: 0.0015830653719604015, Lower Loss: 0.004794801585376263, Upper Q: 0.08087698370218277, Lower Q: 16.075395584106445
[2023-05-31 01:27:19,998][core][INFO] - Step: 5100, Upper Loss: 0.001255215029232204, Lower Loss: 0.006536806933581829, Upper Q: 0.06617799401283264, Lower Q: 15.1849946975708
[2023-05-31 01:27:21,319][core][INFO] - Step: 5200, Upper Loss: 0.0026272570248693228, Lower Loss: 0.007524312473833561, Upper Q: 0.08235746622085571, Lower Q: 15.315082550048828
[2023-05-31 01:27:22,531][core][INFO] - Step: 5300, Upper Loss: 0.0013034096919000149, Lower Loss: 0.005887897685170174, Upper Q: 0.0596359446644783, Lower Q: 14.404455184936523
[2023-05-31 01:27:23,648][core][INFO] - Step: 5400, Upper Loss: 0.0011892544571310282, Lower Loss: 0.01148582249879837, Upper Q: 0.08891202509403229, Lower Q: 14.71967601776123
[2023-05-31 01:27:24,738][core][INFO] - Step: 5500, Upper Loss: 0.002365430584177375, Lower Loss: 0.028046347200870514, Upper Q: 0.07567670941352844, Lower Q: 14.154256820678711
[2023-05-31 01:27:25,865][core][INFO] - Step: 5600, Upper Loss: 0.002130794571712613, Lower Loss: 0.01912868395447731, Upper Q: 0.12415511906147003, Lower Q: 13.792043685913086
[2023-05-31 01:27:26,983][core][INFO] - Step: 5700, Upper Loss: 0.0015870027709752321, Lower Loss: 0.02434227243065834, Upper Q: 0.10651744157075882, Lower Q: 13.94041919708252
[2023-05-31 01:27:28,128][core][INFO] - Step: 5800, Upper Loss: 0.001980133354663849, Lower Loss: 0.03279459476470947, Upper Q: 0.12428217381238937, Lower Q: 13.687210083007812
[2023-05-31 01:27:29,231][core][INFO] - Step: 5900, Upper Loss: 0.0012288126163184643, Lower Loss: 0.007407232653349638, Upper Q: 0.0890805572271347, Lower Q: 13.691014289855957
[2023-05-31 01:27:30,335][core][INFO] - Step: 6000, Upper Loss: 0.001272842870093882, Lower Loss: 0.0053008198738098145, Upper Q: 0.07331427931785583, Lower Q: 13.553783416748047
[2023-05-31 01:27:31,512][core][INFO] - Step: 6100, Upper Loss: 0.000731537351384759, Lower Loss: 0.00560357142239809, Upper Q: 0.08043108880519867, Lower Q: 13.593687057495117
[2023-05-31 01:27:32,713][core][INFO] - Step: 6200, Upper Loss: 0.0007429958786815405, Lower Loss: 0.0030751104932278395, Upper Q: 0.07190762460231781, Lower Q: 12.709299087524414
[2023-05-31 01:27:33,871][core][INFO] - Step: 6300, Upper Loss: 0.0005434803897514939, Lower Loss: 0.015401826240122318, Upper Q: 0.07461380958557129, Lower Q: 12.704143524169922
[2023-05-31 01:27:34,963][core][INFO] - Step: 6400, Upper Loss: 0.0006398875266313553, Lower Loss: 0.0030401665717363358, Upper Q: 0.05816745012998581, Lower Q: 12.793540954589844
[2023-05-31 01:27:36,108][core][INFO] - Step: 6500, Upper Loss: 0.0005187892820686102, Lower Loss: 0.007053701672703028, Upper Q: 0.06513787806034088, Lower Q: 12.682539939880371
[2023-05-31 01:27:37,204][core][INFO] - Step: 6600, Upper Loss: 0.001926386496052146, Lower Loss: 0.00369855179451406, Upper Q: 0.06976071000099182, Lower Q: 11.67130184173584
[2023-05-31 01:27:38,314][core][INFO] - Step: 6700, Upper Loss: 0.00037316762609407306, Lower Loss: 0.003669792553409934, Upper Q: 0.055792566388845444, Lower Q: 12.300426483154297
[2023-05-31 01:27:39,486][core][INFO] - Step: 6800, Upper Loss: 0.00157923623919487, Lower Loss: 0.002119605429470539, Upper Q: 0.07132714241743088, Lower Q: 11.767679214477539
[2023-05-31 01:27:40,587][core][INFO] - Step: 6900, Upper Loss: 0.0004741569282487035, Lower Loss: 0.0088032903149724, Upper Q: 0.06588001549243927, Lower Q: 11.487934112548828
[2023-05-31 01:27:41,828][core][INFO] - Step: 7000, Upper Loss: 0.00032165285665541887, Lower Loss: 0.0055653247982263565, Upper Q: 0.05129700154066086, Lower Q: 11.674128532409668
[2023-05-31 01:27:43,034][core][INFO] - Step: 7100, Upper Loss: 0.00042028442840091884, Lower Loss: 0.021414943039417267, Upper Q: 0.06279443204402924, Lower Q: 11.252484321594238
[2023-05-31 01:27:44,123][core][INFO] - Step: 7200, Upper Loss: 0.0008348517003469169, Lower Loss: 0.011742863804101944, Upper Q: 0.06260212510824203, Lower Q: 10.517341613769531
[2023-05-31 01:27:45,296][core][INFO] - Step: 7300, Upper Loss: 0.0005308616673573852, Lower Loss: 0.017104454338550568, Upper Q: 0.061454229056835175, Lower Q: 10.970132827758789
[2023-05-31 01:27:46,455][core][INFO] - Step: 7400, Upper Loss: 0.00028143616509623826, Lower Loss: 0.0254677701741457, Upper Q: 0.058804456144571304, Lower Q: 11.24496841430664
[2023-05-31 01:27:47,574][core][INFO] - Step: 7500, Upper Loss: 0.0008677096338942647, Lower Loss: 0.02680652216076851, Upper Q: 0.07142206281423569, Lower Q: 10.85452938079834
[2023-05-31 01:27:48,739][core][INFO] - Step: 7600, Upper Loss: 0.0005534343654289842, Lower Loss: 0.013661928474903107, Upper Q: 0.06237984448671341, Lower Q: 11.196892738342285
[2023-05-31 01:27:49,854][core][INFO] - Step: 7700, Upper Loss: 0.000838923966512084, Lower Loss: 0.011895222589373589, Upper Q: 0.0716959685087204, Lower Q: 11.324294090270996
[2023-05-31 01:27:51,056][core][INFO] - Step: 7800, Upper Loss: 0.0006070345407351851, Lower Loss: 0.012878112494945526, Upper Q: 0.06865006685256958, Lower Q: 11.244543075561523
[2023-05-31 01:27:52,244][core][INFO] - Step: 7900, Upper Loss: 0.0005249446840025485, Lower Loss: 0.00488057779148221, Upper Q: 0.06490803509950638, Lower Q: 11.44687271118164
[2023-05-31 01:27:53,394][core][INFO] - Step: 8000, Upper Loss: 0.0002561691799201071, Lower Loss: 0.002550652716308832, Upper Q: 0.06662687659263611, Lower Q: 11.188894271850586
[2023-05-31 01:27:54,532][core][INFO] - Step: 8100, Upper Loss: 0.0008081949781626463, Lower Loss: 0.013512866571545601, Upper Q: 0.060503438115119934, Lower Q: 10.805910110473633
[2023-05-31 01:27:55,741][core][INFO] - Step: 8200, Upper Loss: 0.00038152383058331907, Lower Loss: 0.0019984538666903973, Upper Q: 0.04260382056236267, Lower Q: 11.290580749511719
