[2023-05-31 01:33:43,416][core][INFO] - Step: 3500, Upper Loss: 0.00045267053064890206, Lower Loss: 0.01847885362803936, Upper Q: 0.056643497198820114, Lower Q: 10.572834014892578
[2023-05-31 01:33:44,654][core][INFO] - Step: 3600, Upper Loss: 0.0006324849091470242, Lower Loss: 0.020947016775608063, Upper Q: 0.05657380819320679, Lower Q: 10.33581256866455
[2023-05-31 01:33:46,144][core][INFO] - Step: 3700, Upper Loss: 0.00041394325671717525, Lower Loss: 0.018057316541671753, Upper Q: 0.03357531875371933, Lower Q: 10.005870819091797
[2023-05-31 01:33:47,286][core][INFO] - Step: 3800, Upper Loss: 0.00026108461315743625, Lower Loss: 0.01407838985323906, Upper Q: 0.039291173219680786, Lower Q: 10.158195495605469
[2023-05-31 01:33:48,493][core][INFO] - Step: 3900, Upper Loss: 0.0008331871940754354, Lower Loss: 0.014845000579953194, Upper Q: 0.04553095996379852, Lower Q: 10.371293067932129
[2023-05-31 01:33:49,684][core][INFO] - Step: 4000, Upper Loss: 0.0005053149070590734, Lower Loss: 0.02899005264043808, Upper Q: 0.039645709097385406, Lower Q: 10.260662078857422
[2023-05-31 01:33:50,934][core][INFO] - Step: 4100, Upper Loss: 0.0011054673232138157, Lower Loss: 0.017461393028497696, Upper Q: 0.039804935455322266, Lower Q: 10.366293907165527
[2023-05-31 01:33:52,036][core][INFO] - Step: 4200, Upper Loss: 0.0004774453700520098, Lower Loss: 0.03900320082902908, Upper Q: 0.03710132837295532, Lower Q: 10.68458366394043
[2023-05-31 01:33:53,217][core][INFO] - Step: 4300, Upper Loss: 0.0002730201231315732, Lower Loss: 0.02726319245994091, Upper Q: 0.03348943963646889, Lower Q: 10.871603965759277
[2023-05-31 01:33:54,445][core][INFO] - Step: 4400, Upper Loss: 0.000582550885155797, Lower Loss: 0.02549351193010807, Upper Q: 0.04146696254611015, Lower Q: 11.427173614501953
[2023-05-31 01:33:55,532][core][INFO] - Step: 4500, Upper Loss: 0.0005226653884164989, Lower Loss: 0.021253928542137146, Upper Q: 0.03967702388763428, Lower Q: 11.121269226074219
[2023-05-31 01:33:56,708][core][INFO] - Step: 4600, Upper Loss: 0.0006715090130455792, Lower Loss: 0.02550366148352623, Upper Q: 0.03361569344997406, Lower Q: 11.131805419921875
[2023-05-31 01:33:57,798][core][INFO] - Step: 4700, Upper Loss: 0.002296378603205085, Lower Loss: 0.008377941325306892, Upper Q: 0.03395996242761612, Lower Q: 11.703279495239258
[2023-05-31 01:33:58,927][core][INFO] - Step: 4800, Upper Loss: 0.0005785113899037242, Lower Loss: 0.047975972294807434, Upper Q: 0.02850376069545746, Lower Q: 11.046229362487793
[2023-05-31 01:34:00,102][core][INFO] - Step: 4900, Upper Loss: 0.0007408898090943694, Lower Loss: 0.09814820438623428, Upper Q: 0.04053772985935211, Lower Q: 11.181747436523438
[2023-05-31 01:34:01,315][core][INFO] - Step: 5000, Upper Loss: 0.0006110054673627019, Lower Loss: 0.013463404960930347, Upper Q: 0.03903336077928543, Lower Q: 11.551116943359375
[2023-05-31 01:34:02,554][core][INFO] - Step: 5100, Upper Loss: 0.0005259821773506701, Lower Loss: 0.08715958893299103, Upper Q: 0.0362464040517807, Lower Q: 11.100601196289062
[2023-05-31 01:34:03,888][core][INFO] - Step: 5200, Upper Loss: 0.0024009929038584232, Lower Loss: 0.04232855141162872, Upper Q: 0.05339790880680084, Lower Q: 11.33561897277832
[2023-05-31 01:34:04,951][core][INFO] - Step: 5300, Upper Loss: 0.0003242231614422053, Lower Loss: 0.006182373501360416, Upper Q: 0.04021604731678963, Lower Q: 11.234842300415039
[2023-05-31 01:34:06,037][core][INFO] - Step: 5400, Upper Loss: 0.0005544382729567587, Lower Loss: 0.008651671931147575, Upper Q: 0.04593641683459282, Lower Q: 11.045544624328613
[2023-05-31 01:34:07,101][core][INFO] - Step: 5500, Upper Loss: 0.003598047886043787, Lower Loss: 0.006141276098787785, Upper Q: 0.048362184315919876, Lower Q: 10.841699600219727
[2023-05-31 01:34:08,234][core][INFO] - Step: 5600, Upper Loss: 0.002215541433542967, Lower Loss: 0.006293985061347485, Upper Q: 0.08467867970466614, Lower Q: 10.6376314163208
[2023-05-31 01:34:09,602][core][INFO] - Step: 5700, Upper Loss: 0.0009379151742905378, Lower Loss: 0.0026693230029195547, Upper Q: 0.04309598356485367, Lower Q: 10.322415351867676
[2023-05-31 01:34:10,716][core][INFO] - Step: 5800, Upper Loss: 0.000856681726872921, Lower Loss: 0.0058249435387551785, Upper Q: 0.06950019299983978, Lower Q: 10.630328178405762
[2023-05-31 01:34:11,811][core][INFO] - Step: 5900, Upper Loss: 0.000827998504973948, Lower Loss: 0.012227654457092285, Upper Q: 0.04658672958612442, Lower Q: 9.914440155029297
[2023-05-31 01:34:12,932][core][INFO] - Step: 6000, Upper Loss: 0.0013857255689799786, Lower Loss: 0.005324258469045162, Upper Q: 0.05188166722655296, Lower Q: 10.137457847595215
