[2023-05-31 01:45:44,903][core][INFO] - Step: 200, Upper Loss: 4.849905967712402, Lower Loss: 0.0005416553467512131, Upper Q: 5.051924705505371, Lower Q: 0.12724384665489197
[2023-05-31 01:45:46,000][core][INFO] - Step: 300, Upper Loss: 6.149806976318359, Lower Loss: 0.006618883460760117, Upper Q: 8.817658424377441, Lower Q: 0.28311270475387573
[2023-05-31 01:45:47,087][core][INFO] - Step: 400, Upper Loss: 7.777183532714844, Lower Loss: 0.006332942750304937, Upper Q: 12.354966163635254, Lower Q: 0.5025795698165894
[2023-05-31 01:45:48,048][core][INFO] - Step: 500, Upper Loss: 9.95418643951416, Lower Loss: 0.004246694967150688, Upper Q: 15.340499877929688, Lower Q: 0.7201833724975586
[2023-05-31 01:45:49,139][core][INFO] - Step: 600, Upper Loss: 9.62408447265625, Lower Loss: 0.0022868968080729246, Upper Q: 18.106876373291016, Lower Q: 0.8324287533760071
[2023-05-31 01:45:50,328][core][INFO] - Step: 700, Upper Loss: 16.10443115234375, Lower Loss: 0.001958352280780673, Upper Q: 18.6019287109375, Lower Q: 0.9293791055679321
[2023-05-31 01:45:51,409][core][INFO] - Step: 800, Upper Loss: 13.574316024780273, Lower Loss: 0.002336150500923395, Upper Q: 18.64117431640625, Lower Q: 0.9904946088790894
[2023-05-31 01:45:52,520][core][INFO] - Step: 900, Upper Loss: 19.031641006469727, Lower Loss: 0.0009012994123622775, Upper Q: 19.813108444213867, Lower Q: 1.0206893682479858
[2023-05-31 01:45:53,557][core][INFO] - Step: 1000, Upper Loss: 19.425106048583984, Lower Loss: 0.000940532423555851, Upper Q: 19.927913665771484, Lower Q: 1.1576387882232666
[2023-05-31 01:45:54,612][core][INFO] - Step: 1100, Upper Loss: 17.438858032226562, Lower Loss: 0.001956625608727336, Upper Q: 21.00210189819336, Lower Q: 1.2229955196380615
[2023-05-31 01:45:55,720][core][INFO] - Step: 1200, Upper Loss: 20.153738021850586, Lower Loss: 0.002288975054398179, Upper Q: 20.770042419433594, Lower Q: 1.349089503288269
[2023-05-31 01:45:56,839][core][INFO] - Step: 1300, Upper Loss: 21.190387725830078, Lower Loss: 0.004409259185194969, Upper Q: 19.70361328125, Lower Q: 1.6177490949630737
[2023-05-31 01:45:57,986][core][INFO] - Step: 1400, Upper Loss: 22.47145652770996, Lower Loss: 0.004542939364910126, Upper Q: 19.83953857421875, Lower Q: 1.845839023590088
[2023-05-31 01:45:59,247][core][INFO] - Step: 1500, Upper Loss: 22.420724868774414, Lower Loss: 0.0024391571059823036, Upper Q: 19.66897201538086, Lower Q: 2.2323856353759766
[2023-05-31 01:46:00,299][core][INFO] - Step: 1600, Upper Loss: 24.54517364501953, Lower Loss: 0.004239718429744244, Upper Q: 19.056564331054688, Lower Q: 2.560892105102539
[2023-05-31 01:46:01,470][core][INFO] - Step: 1700, Upper Loss: 22.62807273864746, Lower Loss: 0.0029857433401048183, Upper Q: 19.105426788330078, Lower Q: 2.956632137298584
