[2023-05-31 01:19:15,484][core][INFO] - Step: 200, Upper Loss: 0.0037711781915277243, Lower Loss: 0.0006069590453989804, Upper Q: 0.589340090751648, Lower Q: 0.12051142007112503
[2023-05-31 01:19:16,614][core][INFO] - Step: 300, Upper Loss: 0.009845038875937462, Lower Loss: 0.005846863612532616, Upper Q: 0.6380571126937866, Lower Q: 0.2689525783061981
[2023-05-31 01:19:17,652][core][INFO] - Step: 400, Upper Loss: 0.008046549744904041, Lower Loss: 0.006407267414033413, Upper Q: 0.6052914261817932, Lower Q: 0.4444107413291931
[2023-05-31 01:19:19,056][core][INFO] - Step: 500, Upper Loss: 0.007194965612143278, Lower Loss: 0.00653656292706728, Upper Q: 0.5907706022262573, Lower Q: 0.6109990477561951
[2023-05-31 01:19:20,459][core][INFO] - Step: 600, Upper Loss: 0.005080630071461201, Lower Loss: 0.003191404277458787, Upper Q: 0.5690792798995972, Lower Q: 0.7895125150680542
[2023-05-31 01:19:21,690][core][INFO] - Step: 700, Upper Loss: 0.009209858253598213, Lower Loss: 0.004108671564608812, Upper Q: 0.5173406600952148, Lower Q: 0.9450182914733887
[2023-05-31 01:19:22,993][core][INFO] - Step: 800, Upper Loss: 0.005185260437428951, Lower Loss: 0.004454426933079958, Upper Q: 0.469051718711853, Lower Q: 1.104106068611145
[2023-05-31 01:19:24,185][core][INFO] - Step: 900, Upper Loss: 0.0050619663670659065, Lower Loss: 0.004236206412315369, Upper Q: 0.4258177876472473, Lower Q: 1.2281253337860107
[2023-05-31 01:19:25,451][core][INFO] - Step: 1000, Upper Loss: 0.005895677953958511, Lower Loss: 0.004114019684493542, Upper Q: 0.4036884009838104, Lower Q: 1.42681884765625
[2023-05-31 01:19:26,728][core][INFO] - Step: 1100, Upper Loss: 0.004098072182387114, Lower Loss: 0.0032283489126712084, Upper Q: 0.39617717266082764, Lower Q: 1.5027605295181274
[2023-05-31 01:19:27,940][core][INFO] - Step: 1200, Upper Loss: 0.003889257088303566, Lower Loss: 0.004029997158795595, Upper Q: 0.3887553811073303, Lower Q: 1.5754252672195435
[2023-05-31 01:19:29,207][core][INFO] - Step: 1300, Upper Loss: 0.004450554493814707, Lower Loss: 0.0032993722707033157, Upper Q: 0.32881098985671997, Lower Q: 1.7031958103179932
[2023-05-31 01:19:30,620][core][INFO] - Step: 1400, Upper Loss: 0.0034685018472373486, Lower Loss: 0.006316141225397587, Upper Q: 0.32403963804244995, Lower Q: 1.7813358306884766
[2023-05-31 01:19:31,746][core][INFO] - Step: 1500, Upper Loss: 0.004017780069261789, Lower Loss: 0.00144894327968359, Upper Q: 0.29321473836898804, Lower Q: 1.9016289710998535
[2023-05-31 01:19:32,858][core][INFO] - Step: 1600, Upper Loss: 0.0033997937571257353, Lower Loss: 0.0022510914131999016, Upper Q: 0.2872283458709717, Lower Q: 2.005699634552002
[2023-05-31 01:19:33,921][core][INFO] - Step: 1700, Upper Loss: 0.004371915012598038, Lower Loss: 0.0020296555012464523, Upper Q: 0.27695009112358093, Lower Q: 2.1522860527038574
[2023-05-31 01:19:34,979][core][INFO] - Step: 1800, Upper Loss: 0.004343271255493164, Lower Loss: 0.0017287787050008774, Upper Q: 0.2918352782726288, Lower Q: 2.2934112548828125
[2023-05-31 01:19:36,096][core][INFO] - Step: 1900, Upper Loss: 0.004305195063352585, Lower Loss: 0.0032310131937265396, Upper Q: 0.2524833381175995, Lower Q: 2.403409004211426
[2023-05-31 01:19:37,208][core][INFO] - Step: 2000, Upper Loss: 0.0024444558657705784, Lower Loss: 0.0010245011653751135, Upper Q: 0.27170267701148987, Lower Q: 2.512521266937256
[2023-05-31 01:19:38,384][core][INFO] - Step: 2100, Upper Loss: 0.002452718559652567, Lower Loss: 0.00302728614769876, Upper Q: 0.2687394618988037, Lower Q: 2.5866408348083496
[2023-05-31 01:19:39,452][core][INFO] - Step: 2200, Upper Loss: 0.0035402467474341393, Lower Loss: 0.0024091077502816916, Upper Q: 0.23644065856933594, Lower Q: 2.6557836532592773
[2023-05-31 01:19:40,648][core][INFO] - Step: 2300, Upper Loss: 0.0033672372810542583, Lower Loss: 0.0044743940234184265, Upper Q: 0.24482165277004242, Lower Q: 2.7681689262390137
[2023-05-31 01:19:41,776][core][INFO] - Step: 2400, Upper Loss: 0.003867377992719412, Lower Loss: 0.006541351787745953, Upper Q: 0.22158588469028473, Lower Q: 2.9164042472839355
[2023-05-31 01:19:42,855][core][INFO] - Step: 2500, Upper Loss: 0.002953462302684784, Lower Loss: 0.015505317598581314, Upper Q: 0.22761675715446472, Lower Q: 3.074399948120117
[2023-05-31 01:19:43,899][core][INFO] - Step: 2600, Upper Loss: 0.002924337051808834, Lower Loss: 0.01568722166121006, Upper Q: 0.23311471939086914, Lower Q: 3.1619834899902344
[2023-05-31 01:19:45,054][core][INFO] - Step: 2700, Upper Loss: 0.0029271768871694803, Lower Loss: 0.01420065388083458, Upper Q: 0.21536393463611603, Lower Q: 3.414393186569214
[2023-05-31 01:19:46,248][core][INFO] - Step: 2800, Upper Loss: 0.0024898615665733814, Lower Loss: 0.013401610776782036, Upper Q: 0.19903700053691864, Lower Q: 3.8146471977233887
[2023-05-31 01:19:47,334][core][INFO] - Step: 2900, Upper Loss: 0.002026588888838887, Lower Loss: 0.021688740700483322, Upper Q: 0.18475040793418884, Lower Q: 4.082056522369385
[2023-05-31 01:19:48,398][core][INFO] - Step: 3000, Upper Loss: 0.002010967582464218, Lower Loss: 0.028905736282467842, Upper Q: 0.18056729435920715, Lower Q: 4.416046142578125
[2023-05-31 01:19:49,497][core][INFO] - Step: 3100, Upper Loss: 0.0027077235281467438, Lower Loss: 0.014623886905610561, Upper Q: 0.18012577295303345, Lower Q: 4.788707733154297
[2023-05-31 01:19:50,631][core][INFO] - Step: 3200, Upper Loss: 0.001199027756229043, Lower Loss: 0.03412284702062607, Upper Q: 0.1717360019683838, Lower Q: 5.274393081665039
[2023-05-31 01:19:51,739][core][INFO] - Step: 3300, Upper Loss: 0.0008969584596343338, Lower Loss: 0.02129843831062317, Upper Q: 0.1619393527507782, Lower Q: 5.385761737823486
[2023-05-31 01:19:52,830][core][INFO] - Step: 3400, Upper Loss: 0.001355319400317967, Lower Loss: 0.011982854455709457, Upper Q: 0.17055657505989075, Lower Q: 5.837477684020996
[2023-05-31 01:19:53,935][core][INFO] - Step: 3500, Upper Loss: 0.001832606503739953, Lower Loss: 0.01041486393660307, Upper Q: 0.1555858999490738, Lower Q: 5.911352157592773
[2023-05-31 01:19:55,038][core][INFO] - Step: 3600, Upper Loss: 0.0017199818976223469, Lower Loss: 0.007164765149354935, Upper Q: 0.1529676914215088, Lower Q: 5.864473342895508
[2023-05-31 01:19:56,382][core][INFO] - Step: 3700, Upper Loss: 0.0012973843840882182, Lower Loss: 0.00419935118407011, Upper Q: 0.15732762217521667, Lower Q: 6.085922718048096
[2023-05-31 01:19:57,461][core][INFO] - Step: 3800, Upper Loss: 0.0016877584857866168, Lower Loss: 0.005726219154894352, Upper Q: 0.157720685005188, Lower Q: 6.130212783813477
[2023-05-31 01:19:58,539][core][INFO] - Step: 3900, Upper Loss: 0.0012674006866291165, Lower Loss: 0.007452487014234066, Upper Q: 0.16515235602855682, Lower Q: 6.136197566986084
[2023-05-31 01:19:59,603][core][INFO] - Step: 4000, Upper Loss: 0.001449991250410676, Lower Loss: 0.013938204385340214, Upper Q: 0.16940009593963623, Lower Q: 6.116279602050781
[2023-05-31 01:20:00,733][core][INFO] - Step: 4100, Upper Loss: 0.0016712017823010683, Lower Loss: 0.011830882169306278, Upper Q: 0.16410653293132782, Lower Q: 6.314875602722168
[2023-05-31 01:20:01,976][core][INFO] - Step: 4200, Upper Loss: 0.0015913975657895207, Lower Loss: 0.007021772209554911, Upper Q: 0.15172116458415985, Lower Q: 6.403644561767578
[2023-05-31 01:20:03,108][core][INFO] - Step: 4300, Upper Loss: 0.0016606160206720233, Lower Loss: 0.006765705533325672, Upper Q: 0.17313174903392792, Lower Q: 6.741990089416504
[2023-05-31 01:20:04,178][core][INFO] - Step: 4400, Upper Loss: 0.0012532310793176293, Lower Loss: 0.003765145782381296, Upper Q: 0.15254107117652893, Lower Q: 6.666609764099121
[2023-05-31 01:20:05,352][core][INFO] - Step: 4500, Upper Loss: 0.0011217951541766524, Lower Loss: 0.005439090076833963, Upper Q: 0.16534197330474854, Lower Q: 6.711529731750488
[2023-05-31 01:20:06,478][core][INFO] - Step: 4600, Upper Loss: 0.0014420124934986234, Lower Loss: 0.0031071905978024006, Upper Q: 0.14702697098255157, Lower Q: 6.518592834472656
[2023-05-31 01:20:07,637][core][INFO] - Step: 4700, Upper Loss: 0.0014483246486634016, Lower Loss: 0.0030329565051943064, Upper Q: 0.1432788074016571, Lower Q: 6.849505424499512
[2023-05-31 01:20:08,722][core][INFO] - Step: 4800, Upper Loss: 0.0016212649643421173, Lower Loss: 0.0035158852115273476, Upper Q: 0.1537017524242401, Lower Q: 6.453286170959473
[2023-05-31 01:20:09,823][core][INFO] - Step: 4900, Upper Loss: 0.0018008730839937925, Lower Loss: 0.0072356825694441795, Upper Q: 0.16202527284622192, Lower Q: 6.615246772766113
[2023-05-31 01:20:11,057][core][INFO] - Step: 5000, Upper Loss: 0.0014658276923000813, Lower Loss: 0.006554408930242062, Upper Q: 0.16642525792121887, Lower Q: 6.4779767990112305
[2023-05-31 01:20:12,215][core][INFO] - Step: 5100, Upper Loss: 0.00124171725474298, Lower Loss: 0.004505266435444355, Upper Q: 0.13376733660697937, Lower Q: 6.470792770385742
[2023-05-31 01:20:13,432][core][INFO] - Step: 5200, Upper Loss: 0.0015286498237401247, Lower Loss: 0.0027612873818725348, Upper Q: 0.15557992458343506, Lower Q: 6.424502372741699
[2023-05-31 01:20:14,541][core][INFO] - Step: 5300, Upper Loss: 0.0013272890355437994, Lower Loss: 0.0010937441838905215, Upper Q: 0.15847599506378174, Lower Q: 6.31926155090332
[2023-05-31 01:20:15,657][core][INFO] - Step: 5400, Upper Loss: 0.0012520711170509458, Lower Loss: 0.0014857787173241377, Upper Q: 0.14527343213558197, Lower Q: 6.365419864654541
[2023-05-31 01:20:16,980][core][INFO] - Step: 5500, Upper Loss: 0.001637146808207035, Lower Loss: 0.0012252307496964931, Upper Q: 0.14460086822509766, Lower Q: 6.02170467376709
[2023-05-31 01:20:18,071][core][INFO] - Step: 5600, Upper Loss: 0.0015044859610497952, Lower Loss: 0.0006571164121851325, Upper Q: 0.15815389156341553, Lower Q: 5.871734619140625
[2023-05-31 01:20:19,236][core][INFO] - Step: 5700, Upper Loss: 0.0013441354967653751, Lower Loss: 0.0007883355719968677, Upper Q: 0.16042664647102356, Lower Q: 5.676705360412598
[2023-05-31 01:20:20,332][core][INFO] - Step: 5800, Upper Loss: 0.0021291610319167376, Lower Loss: 0.0017020214581862092, Upper Q: 0.1578328013420105, Lower Q: 5.74622106552124
[2023-05-31 01:20:21,430][core][INFO] - Step: 5900, Upper Loss: 0.0020771108102053404, Lower Loss: 0.0002788740675896406, Upper Q: 0.13418644666671753, Lower Q: 5.66754674911499
[2023-05-31 01:20:22,656][core][INFO] - Step: 6000, Upper Loss: 0.0010171422036364675, Lower Loss: 0.0006496035493910313, Upper Q: 0.139920175075531, Lower Q: 5.454401969909668
[2023-05-31 01:20:23,914][core][INFO] - Step: 6100, Upper Loss: 0.0021797451190650463, Lower Loss: 0.0007573306211270392, Upper Q: 0.1646028459072113, Lower Q: 5.342565536499023
[2023-05-31 01:20:25,091][core][INFO] - Step: 6200, Upper Loss: 0.0015250577125698328, Lower Loss: 0.0005046640289947391, Upper Q: 0.14339658617973328, Lower Q: 5.382646083831787
[2023-05-31 01:20:26,489][core][INFO] - Step: 6300, Upper Loss: 0.0017934953793883324, Lower Loss: 0.0007856558077037334, Upper Q: 0.1438392996788025, Lower Q: 5.134181976318359
[2023-05-31 01:20:27,785][core][INFO] - Step: 6400, Upper Loss: 0.001740145729854703, Lower Loss: 0.0002586914924904704, Upper Q: 0.13742464780807495, Lower Q: 4.954745769500732
[2023-05-31 01:20:28,958][core][INFO] - Step: 6500, Upper Loss: 0.0014004951808601618, Lower Loss: 0.00040500046452507377, Upper Q: 0.16257798671722412, Lower Q: 4.861421585083008
[2023-05-31 01:20:30,143][core][INFO] - Step: 6600, Upper Loss: 0.0015441131545230746, Lower Loss: 0.000472342740977183, Upper Q: 0.16465681791305542, Lower Q: 4.716753005981445
[2023-05-31 01:20:31,421][core][INFO] - Step: 6700, Upper Loss: 0.0020779117476195097, Lower Loss: 0.0005241679027676582, Upper Q: 0.16869813203811646, Lower Q: 4.773364543914795
[2023-05-31 01:20:32,724][core][INFO] - Step: 6800, Upper Loss: 0.002099807607010007, Lower Loss: 0.0003173192380927503, Upper Q: 0.1751985251903534, Lower Q: 4.6399455070495605
[2023-05-31 01:20:33,897][core][INFO] - Step: 6900, Upper Loss: 0.002025132765993476, Lower Loss: 0.0005526404129341245, Upper Q: 0.18722538650035858, Lower Q: 4.378209114074707
[2023-05-31 01:20:35,068][core][INFO] - Step: 7000, Upper Loss: 0.002820833818987012, Lower Loss: 0.0002365555992582813, Upper Q: 0.18172284960746765, Lower Q: 4.4893269538879395
[2023-05-31 01:20:36,253][core][INFO] - Step: 7100, Upper Loss: 0.0015898732235655189, Lower Loss: 0.0005507541354745626, Upper Q: 0.1771915853023529, Lower Q: 4.405445098876953
[2023-05-31 01:20:37,545][core][INFO] - Step: 7200, Upper Loss: 0.00148603948764503, Lower Loss: 0.00032243129680864513, Upper Q: 0.17105868458747864, Lower Q: 4.304262161254883
[2023-05-31 01:20:38,790][core][INFO] - Step: 7300, Upper Loss: 0.002964043989777565, Lower Loss: 0.00013223892892710865, Upper Q: 0.16479535400867462, Lower Q: 4.125028610229492
[2023-05-31 01:20:40,043][core][INFO] - Step: 7400, Upper Loss: 0.0014595943503081799, Lower Loss: 0.00020209982176311314, Upper Q: 0.17133605480194092, Lower Q: 4.222219467163086
[2023-05-31 01:20:41,212][core][INFO] - Step: 7500, Upper Loss: 0.001375082298181951, Lower Loss: 0.0001186947847600095, Upper Q: 0.18182358145713806, Lower Q: 3.852910041809082
[2023-05-31 01:20:42,458][core][INFO] - Step: 7600, Upper Loss: 0.001970723271369934, Lower Loss: 8.328560215886682e-05, Upper Q: 0.1611195057630539, Lower Q: 3.7188336849212646
[2023-05-31 01:20:43,680][core][INFO] - Step: 7700, Upper Loss: 0.004255721345543861, Lower Loss: 0.0017599500715732574, Upper Q: 0.1809973120689392, Lower Q: 3.7003564834594727
[2023-05-31 01:20:45,038][core][INFO] - Step: 7800, Upper Loss: 0.002837853040546179, Lower Loss: 0.0001886563841253519, Upper Q: 0.17087602615356445, Lower Q: 3.56337308883667
[2023-05-31 01:20:46,189][core][INFO] - Step: 7900, Upper Loss: 0.0017189497593790293, Lower Loss: 0.0004517537890933454, Upper Q: 0.1482822597026825, Lower Q: 3.5522398948669434
[2023-05-31 01:20:47,426][core][INFO] - Step: 8000, Upper Loss: 0.0014887136640027165, Lower Loss: 0.00035376701271161437, Upper Q: 0.163356751203537, Lower Q: 3.4467859268188477
[2023-05-31 01:20:48,619][core][INFO] - Step: 8100, Upper Loss: 0.0023049386218190193, Lower Loss: 0.0003919305745512247, Upper Q: 0.16766980290412903, Lower Q: 3.2901558876037598
[2023-05-31 01:20:49,995][core][INFO] - Step: 8200, Upper Loss: 0.0014740494079887867, Lower Loss: 0.00037508245441131294, Upper Q: 0.14891475439071655, Lower Q: 3.405050754547119
[2023-05-31 01:20:51,173][core][INFO] - Step: 8300, Upper Loss: 0.0013464426156133413, Lower Loss: 0.00036828170414082706, Upper Q: 0.15851333737373352, Lower Q: 3.3800320625305176
[2023-05-31 01:20:52,424][core][INFO] - Step: 8400, Upper Loss: 0.0021073338575661182, Lower Loss: 0.000252397614531219, Upper Q: 0.15251155197620392, Lower Q: 3.3650128841400146
[2023-05-31 01:20:53,703][core][INFO] - Step: 8500, Upper Loss: 0.0015958225121721625, Lower Loss: 0.0001929974532686174, Upper Q: 0.1670568436384201, Lower Q: 3.3164398670196533
[2023-05-31 01:20:55,086][core][INFO] - Step: 8600, Upper Loss: 0.0020624296739697456, Lower Loss: 0.000982396537438035, Upper Q: 0.1541059911251068, Lower Q: 3.0778887271881104
[2023-05-31 01:20:56,441][core][INFO] - Step: 8700, Upper Loss: 0.0011741353664547205, Lower Loss: 0.002171827480196953, Upper Q: 0.15106666088104248, Lower Q: 3.052664041519165
[2023-05-31 01:20:57,715][core][INFO] - Step: 8800, Upper Loss: 0.0012598959729075432, Lower Loss: 0.00025575689505785704, Upper Q: 0.1351231187582016, Lower Q: 3.1545350551605225
[2023-05-31 01:20:58,952][core][INFO] - Step: 8900, Upper Loss: 0.001270068227313459, Lower Loss: 0.00047773850383237004, Upper Q: 0.16311296820640564, Lower Q: 2.8775877952575684
[2023-05-31 01:21:00,287][core][INFO] - Step: 9000, Upper Loss: 0.001198103534989059, Lower Loss: 0.0004284144670236856, Upper Q: 0.1496732085943222, Lower Q: 2.9259634017944336
[2023-05-31 01:21:01,573][core][INFO] - Step: 9100, Upper Loss: 0.0015880358405411243, Lower Loss: 0.00014366106188390404, Upper Q: 0.15179650485515594, Lower Q: 2.830873966217041
[2023-05-31 01:21:02,889][core][INFO] - Step: 9200, Upper Loss: 0.0012471346417441964, Lower Loss: 0.0004191343323327601, Upper Q: 0.1445629596710205, Lower Q: 2.8308582305908203
[2023-05-31 01:21:04,259][core][INFO] - Step: 9300, Upper Loss: 0.0015410680789500475, Lower Loss: 5.88755719945766e-05, Upper Q: 0.15427494049072266, Lower Q: 2.7042834758758545
[2023-05-31 01:21:05,551][core][INFO] - Step: 9400, Upper Loss: 0.0016913041472434998, Lower Loss: 0.00022400995658244938, Upper Q: 0.16416147351264954, Lower Q: 2.728388547897339
[2023-05-31 01:21:06,791][core][INFO] - Step: 9500, Upper Loss: 0.0014979116385802627, Lower Loss: 8.583156886743382e-05, Upper Q: 0.15593083202838898, Lower Q: 2.6234817504882812
[2023-05-31 01:21:08,204][core][INFO] - Step: 9600, Upper Loss: 0.0013398705050349236, Lower Loss: 0.0009994662832468748, Upper Q: 0.1589812934398651, Lower Q: 2.588700532913208
[2023-05-31 01:21:09,454][core][INFO] - Step: 9700, Upper Loss: 0.001996370730921626, Lower Loss: 0.00029999471735209227, Upper Q: 0.156960591673851, Lower Q: 2.559692621231079
[2023-05-31 01:21:10,824][core][INFO] - Step: 9800, Upper Loss: 0.0016857360024005175, Lower Loss: 9.382845746586099e-05, Upper Q: 0.15808412432670593, Lower Q: 2.657391309738159
[2023-05-31 01:21:12,107][core][INFO] - Step: 9900, Upper Loss: 0.0016524556558579206, Lower Loss: 0.00030949729261919856, Upper Q: 0.1505020558834076, Lower Q: 2.566636085510254
[2023-05-31 01:21:13,499][core][INFO] - Step: 10000, Upper Loss: 0.0013896749587729573, Lower Loss: 0.0015178158646449447, Upper Q: 0.15140114724636078, Lower Q: 2.5691254138946533
[2023-05-31 01:21:14,754][core][INFO] - Step: 10100, Upper Loss: 0.0016261165728792548, Lower Loss: 0.0006745212012901902, Upper Q: 0.16388532519340515, Lower Q: 2.5062594413757324
[2023-05-31 01:21:16,031][core][INFO] - Step: 10200, Upper Loss: 0.0014461982063949108, Lower Loss: 0.0010759149445220828, Upper Q: 0.16064371168613434, Lower Q: 2.4922704696655273
[2023-05-31 01:21:17,371][core][INFO] - Step: 10300, Upper Loss: 0.001513046445325017, Lower Loss: 0.0012762879487127066, Upper Q: 0.1639709174633026, Lower Q: 2.6011102199554443
[2023-05-31 01:21:18,783][core][INFO] - Step: 10400, Upper Loss: 0.001553605543449521, Lower Loss: 0.0014537186361849308, Upper Q: 0.18423500657081604, Lower Q: 2.537062406539917
[2023-05-31 01:21:20,027][core][INFO] - Step: 10500, Upper Loss: 0.0035479492507874966, Lower Loss: 0.0012491142842918634, Upper Q: 0.1879255771636963, Lower Q: 2.5331664085388184
[2023-05-31 01:21:21,293][core][INFO] - Step: 10600, Upper Loss: 0.0014839000068604946, Lower Loss: 0.001180902007035911, Upper Q: 0.1704159677028656, Lower Q: 2.666161060333252
[2023-05-31 01:21:22,688][core][INFO] - Step: 10700, Upper Loss: 0.0026125088334083557, Lower Loss: 0.0006549384561367333, Upper Q: 0.1925744116306305, Lower Q: 2.754397392272949
[2023-05-31 01:21:24,098][core][INFO] - Step: 10800, Upper Loss: 0.003579232143238187, Lower Loss: 0.0009173913858830929, Upper Q: 0.18162906169891357, Lower Q: 2.8073668479919434
[2023-05-31 01:21:25,418][core][INFO] - Step: 10900, Upper Loss: 0.0032173621002584696, Lower Loss: 0.0008085540030151606, Upper Q: 0.1707635521888733, Lower Q: 2.863121509552002
[2023-05-31 01:21:26,856][core][INFO] - Step: 11000, Upper Loss: 0.003130328143015504, Lower Loss: 0.000544944079592824, Upper Q: 0.19867368042469025, Lower Q: 2.8288779258728027
[2023-05-31 01:21:28,284][core][INFO] - Step: 11100, Upper Loss: 0.0024674320593476295, Lower Loss: 0.0021594876889139414, Upper Q: 0.2020685374736786, Lower Q: 2.6789588928222656
